year,NY Moving Avg,Global Moving Avg
1759,8.567,8.03
1760,8.333,7.877
1761,8.272,7.956
1762,8.946,8.239
1763,8.717,8.15
1764,8.684,8.143
1765,8.919,8.132
1766,8.934,8.088
1767,8.897,8.008
1768,8.949,8.012
1769,8.958,7.982
1770,9.089,8.032
1771,9.089,7.94
1772,9.098,7.898
1773,9.383,7.97
1774,9.38,8.007
1775,9.508,8.1
1776,9.412,8.089
1777,9.437,8.093
1778,9.259,8.269
1779,8.374,8.398
1780,8.3,8.572
1781,8.256666667,8.597
1782,8.202222222,8.568
1783,8.061111111,8.514
1784,7.936666667,8.423
1785,7.742222222,8.241
1786,7.725555556,8.237
1787,7.747777778,8.214
1788,8.067777778,8.205
1789,9.086666667,8.14
1790,9.117,7.995
1791,9.075,8.008
1792,9.032,8.027
1793,9.139,8.082
1794,9.282,8.149
1795,9.354,8.248
1796,9.353,8.249
1797,9.341,8.297
1798,9.335,8.319
1799,9.312,8.337
1800,9.331,8.387
1801,9.394,8.423
1802,9.551,8.472
1803,9.57,8.499
1804,9.556,8.53
1805,9.678,8.551
1806,9.719,8.567
1807,9.751,8.544
1808,9.737,8.44
1809,9.705,8.297
1810,9.682,8.141
1811,9.625,7.968
1812,9.376,7.815
1813,9.262,7.739
1814,9.163,7.614
1815,8.947,7.482
1816,8.801,7.333
1817,8.662,7.203
1818,8.518,7.223
1819,8.538,7.252
1820,8.501,7.322
1821,8.411,7.445
1822,8.615,7.559
1823,8.586,7.557
1824,8.645,7.653
1825,8.839,7.768
1826,9.039,7.91
1827,9.187,8.093
1828,9.444,8.127
1829,9.454,8.184
1830,9.588,8.274
1831,9.642,8.229
1832,9.573,8.155
1833,9.624,8.184
1834,9.627,8.144
1835,9.454,8.044
1836,9.213,7.978
1837,9.099,7.835
1838,8.902,7.769
1839,8.902,7.738
1840,8.797,7.666
1841,8.79,7.671
1842,8.816,7.728
1843,8.75,7.744
1844,8.73,7.694
1845,8.831,7.74
1846,9.046,7.825
1847,9.164,7.896
1848,9.245,7.943
1849,9.211,7.978
1850,9.194,7.988
1851,9.22,8.037
1852,9.177,8.045
1853,9.296,8.032
1854,9.34,8.088
1855,9.302,8.114
1856,9.156,8.059
1857,9.078,8.026
1858,9.037,8.038
1859,9.071,8.065
1860,9.079,8.071
1861,9.1,8.038
1862,9.102,7.984
1863,9.043,7.991
1864,9.016,7.968
1865,9.069,7.975
1866,9.144,8.004
1867,9.151,8.072
1868,9.033,8.087
1869,9.001,8.105
1870,9.087,8.129
1871,9.034,8.156
1872,8.995,8.219
1873,8.93,8.243
1874,8.907,8.288
1875,8.717,8.256
1876,8.757,8.235
1877,8.913,8.245
1878,9.156,8.303
1879,9.208,8.277
1880,9.203,8.269
1881,9.286,8.284
1882,9.347,8.278
1883,9.362,8.241
1884,9.392,8.175
1885,9.455,8.181
1886,9.41,8.168
1887,9.305,8.105
1888,9.098,8.031
1889,9.147,8.046
1890,9.11,8.031
1891,9.133,8.006
1892,9.126,8
1893,9.135,8.008
1894,9.194,8.047
1895,9.279,8.07
1896,9.34,8.096
